group,ipa-name,ipa-desc,unicode-name,unicode-hex,tyipa-name,tyipa-aliases
phonation,Superscript h,Aspirated,Modifier letter small h,2b0,aspirated,
phonation,Subscript umlaut,Breathy voiced,Combining diaeresis below,324,breathy,
phonation,Subscript tilde,Creaky voiced,Combining tilde below,330,creaky,
phonation,Subscript wedge,Voiced,Combining caron below,32c,voiced,
phonation,Over-ring,Voiceless (above),Combining ring above,30a,voiceless-above,
phonation,Under-ring,Voiceless,Combining ring below,325,voiceless-below,voiceless
place of articulation,Inverted subscript bridge,Apical,Combining inverted bridge below,33a,apical,
place of articulation,Subscript bridge,Dental,Combining bridge below,32a,dental,
place of articulation,Subscript square,Laminal,Combining square below,33b,laminal,
place of articulation,Subscript seagull,Linguolabial,Combining seagull below,33c,linguolabial,
quality,Subscript plus,Advanced,Combining plus sign below,31f,advanced,
quality,Advancing sign,Advanced tongue root (ATR),Combining left tack below,318,atr,
quality,Umlaut,Centralized,Combining diaeresis,308,centralized,
quality,Superscript w,Labialized,Modifier letter small w,2b7,labialized,
quality,Subscript left half-ring,Less rounded,Combining left half ring below,31c,less-rounded,
quality,Lowering sign,Lowered,Combinign down tack below,31e,lowered,
quality,Over-cross,Mid-centralized,Combining x above,33d,mid-centralized,
quality,Subscript right half-ring,More rounded,Combining right half ring below,339,more-rounded,
quality,Superscript tilde,Nasalized,Combining tilde,303,nasalized,
quality,Superscript j,Palatalized,Modifier letter small j,2b2,palatalized,
quality,Superscript reversed glottal stop,Pharyngealized,Modifer letter small reversed glottal stop,2e4,pharyngealized,
quality,Raising sign,Raised,Combining up tack below,31d,raised,
quality,Under-bar,Retracted,Combining minus sign below,320,retracted,
quality,Right hook,Rhoticity,Modifier letter rhotic hook,2de,rhotic,
quality,Retroflex hook,Diacritic retroflexion,Combining retroflex hook below,322,retroflex,
quality,Retracting sign,Retracted tongue root (RTR),Combining right tack below,319,rtr,
quality,Superscript gamma,Velarized,Modifier letter small gamma,2e0,velarized,
quality,Superimposed tilde,Velarized or pharyngealized,Combining tilde overlay,334,velopharyngealized,dark
quantity,Breve,Extra-short,Combining breve,306,extra-short,
quantity,Half-length mark,Half-long,Modifier letter half triangular colon,2d1,half-long,
quantity,Length mark,Long,Modifier letter triangular colon,2d0,long,
release,Apostrophe,Ejective,Modifier letter apostrophe,2bc,ejective,
release,Superscript l,Lateral release,Modifier letter small l,2e1,lateral-release,
release,Superscript n,Nasal release,Superscript lating small letter n,207f,nasal-release,
release,Corner,No audible release,Combining left angle above,31a,no-release,
segmentation,Top tie bar,Tie bar (above),Combining double inverted breve,361,tied-above,tied
segmentation,Bottom tie bar,Tie bar (below),Combining double breve below,35c,tied-below,
syllabicity,Subscript arch,Non-syllabic,Combining inverted breve below,32f,non-syllabic,
syllabicity,Syllabicity mark,Syllabic,Combining vertical line below,329,syllabic,
tone,Double acute accent (over),Extra high level tone,Combining adouble acute accent,30b,extra-high,
tone,Double grave accent (over),Extra low level tone,Combiing double grave accent,30f,extra-low,
tone,Circumflex,Falling contour tone,Combinign circumflex accent,302,falling,
tone,Acute + grave + acute accent,Falling-rising contour tone,Combining acute-grave-acute,1dc9,falling-rising,
tone,Acute accent (over),High level tone,Combining acute accent,301,high,
tone,Acute accent + macron,High-mid falling contour tone,Combining acute-macron,1dc7,high-mid-falling,
tone,Macron + acute accent,High rising contour tone,Combining macron-acute,1dc4,high-rising,
tone,Grave accent (over),Low level tone,Combining grave accent,300,low,
tone,Grave accent + macron,Low rising contour tone,Combining grave-macron,1dc5,low-rising,
tone,Macron,Mid level tone,Combining macron,304,mid,
tone,Macron + grave accent,Mid-low falling contour tone,Combining macron-grave,1dc6,mid-low-falling,
tone,"Wedge, hacek",Rising contour tone,Combiing caron,30c,rising,
tone,Grave + acute + grave accent,Rising-falling contour tone,Combining grave-acute-grave,1dc8,rising-falling,
